2024-12-20 03:49:35,664 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2024-12-20 03:49:38,203 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic4.json at ./world/data/meta/treasure2/structures/basic4.json but it doesn't exist.
2024-12-20 03:49:38,204 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic5.json at ./world/data/meta/treasure2/structures/basic5.json but it doesn't exist.
2024-12-20 03:49:38,204 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship1.json at ./world/data/meta/treasure2/structures/beached-ship1.json but it doesn't exist.
2024-12-20 03:49:38,205 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship2.json at ./world/data/meta/treasure2/structures/beached-ship2.json but it doesn't exist.
2024-12-20 03:49:38,205 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship3.json at ./world/data/meta/treasure2/structures/beached-ship3.json but it doesn't exist.
2024-12-20 03:49:38,205 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/blacksmith1.json at ./world/data/meta/treasure2/structures/blacksmith1.json but it doesn't exist.
2024-12-20 03:49:38,206 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/castle1.json at ./world/data/meta/treasure2/structures/castle1.json but it doesn't exist.
2024-12-20 03:49:38,206 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave1.json at ./world/data/meta/treasure2/structures/cave1.json but it doesn't exist.
2024-12-20 03:49:38,206 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave2.json at ./world/data/meta/treasure2/structures/cave2.json but it doesn't exist.
2024-12-20 03:49:38,207 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/church1.json at ./world/data/meta/treasure2/structures/church1.json but it doesn't exist.
2024-12-20 03:49:38,207 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cobb1.json at ./world/data/meta/treasure2/structures/cobb1.json but it doesn't exist.
2024-12-20 03:49:38,207 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt1.json at ./world/data/meta/treasure2/structures/crypt1.json but it doesn't exist.
2024-12-20 03:49:38,207 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt2.json at ./world/data/meta/treasure2/structures/crypt2.json but it doesn't exist.
2024-12-20 03:49:38,208 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt3.json at ./world/data/meta/treasure2/structures/crypt3.json but it doesn't exist.
2024-12-20 03:49:38,208 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-tower2.json at ./world/data/meta/treasure2/structures/desert-tower2.json but it doesn't exist.
2024-12-20 03:49:38,208 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/dingy1.json at ./world/data/meta/treasure2/structures/dingy1.json but it doesn't exist.
2024-12-20 03:49:38,208 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/fortress1.json at ./world/data/meta/treasure2/structures/fortress1.json but it doesn't exist.
2024-12-20 03:49:38,209 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/house1.json at ./world/data/meta/treasure2/structures/house1.json but it doesn't exist.
2024-12-20 03:49:38,209 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/ionic1.json at ./world/data/meta/treasure2/structures/ionic1.json but it doesn't exist.
2024-12-20 03:49:38,209 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber1.json at ./world/data/meta/treasure2/structures/iron-chamber1.json but it doesn't exist.
2024-12-20 03:49:38,209 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber2.json at ./world/data/meta/treasure2/structures/iron-chamber2.json but it doesn't exist.
2024-12-20 03:49:38,210 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/large-tower1.json at ./world/data/meta/treasure2/structures/large-tower1.json but it doesn't exist.
2024-12-20 03:49:38,210 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/mine1.json at ./world/data/meta/treasure2/structures/mine1.json but it doesn't exist.
2024-12-20 03:49:38,210 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/obsidian-chamber1.json at ./world/data/meta/treasure2/structures/obsidian-chamber1.json but it doesn't exist.
2024-12-20 03:49:38,210 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/pirate-chamber1.json at ./world/data/meta/treasure2/structures/pirate-chamber1.json but it doesn't exist.
2024-12-20 03:49:38,211 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship1.json at ./world/data/meta/treasure2/structures/sunken-ship1.json but it doesn't exist.
2024-12-20 03:49:38,211 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship2.json at ./world/data/meta/treasure2/structures/sunken-ship2.json but it doesn't exist.
2024-12-20 03:49:38,211 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship3.json at ./world/data/meta/treasure2/structures/sunken-ship3.json but it doesn't exist.
2024-12-20 03:49:38,211 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower1.json at ./world/data/meta/treasure2/structures/tower1.json but it doesn't exist.
2024-12-20 03:49:38,212 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower2.json at ./world/data/meta/treasure2/structures/tower2.json but it doesn't exist.
2024-12-20 03:49:38,212 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower3.json at ./world/data/meta/treasure2/structures/tower3.json but it doesn't exist.
2024-12-20 03:49:38,212 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower4.json at ./world/data/meta/treasure2/structures/tower4.json but it doesn't exist.
2024-12-20 03:49:38,212 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower5.json at ./world/data/meta/treasure2/structures/tower5.json but it doesn't exist.
2024-12-20 03:49:38,213 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins1.json at ./world/data/meta/treasure2/structures/underwater-ruins1.json but it doesn't exist.
2024-12-20 03:49:38,213 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins2.json at ./world/data/meta/treasure2/structures/underwater-ruins2.json but it doesn't exist.
2024-12-20 03:49:38,213 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/underwater-ruins3.json at ./world/data/meta/treasure2/structures/underwater-ruins3.json but it doesn't exist.
2024-12-20 03:49:38,213 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/wither-chamber1.json at ./world/data/meta/treasure2/structures/wither-chamber1.json but it doesn't exist.
2024-12-20 03:49:38,214 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/canopy-wishing-well1.json at ./world/data/meta/treasure2/structures/canopy-wishing-well1.json but it doesn't exist.
2024-12-20 03:49:38,214 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well1.json at ./world/data/meta/treasure2/structures/desert-wishing-well1.json but it doesn't exist.
2024-12-20 03:49:38,214 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-wishing-well2.json at ./world/data/meta/treasure2/structures/desert-wishing-well2.json but it doesn't exist.
2024-12-20 03:49:38,214 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/simple-well1.json at ./world/data/meta/treasure2/structures/simple-well1.json but it doesn't exist.
2024-12-20 03:49:38,214 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/wood-draw-wishing-well1.json at ./world/data/meta/treasure2/structures/wood-draw-wishing-well1.json but it doesn't exist.
2024-12-20 03:49:38,215 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-12-20 03:49:38,216 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[submerged/dingy1.nbt, submerged/sunken-ship1.nbt, submerged/sunken-ship2.nbt, submerged/sunken-ship3.nbt, submerged/underwater-ruins1.nbt, submerged/underwater-ruins2.nbt, submerged/underwater-ruins3.nbt, subterranean/basic1.nbt, subterranean/basic2.nbt, subterranean/basic3.nbt, subterranean/basic4.nbt, subterranean/basic5.nbt, subterranean/cave1.nbt, subterranean/cave2.nbt, subterranean/cobb1.nbt, subterranean/crypt1.nbt, subterranean/ionic1.nbt, subterranean/iron-chamber1.nbt, subterranean/iron-chamber2.nbt, subterranean/mine1.nbt, subterranean/obsidian-chamber1.nbt, subterranean/pirate-chamber1.nbt, subterranean/wither-chamber1.nbt, surface/beached-ship1.nbt, surface/beached-ship2.nbt, surface/beached-ship3.nbt, surface/blacksmith1.nbt, surface/castle1.nbt, surface/church1.nbt, surface/crypt2.nbt, surface/crypt3.nbt, surface/desert-tower2.nbt, surface/fortress1.nbt, surface/house1.nbt, surface/large-tower1.nbt, surface/tower1.nbt, surface/tower2.nbt, surface/tower3.nbt, surface/tower4.nbt, surface/tower5.nbt, wells/canopy-wishing-well1.nbt, wells/desert-wishing-well1.nbt, wells/desert-wishing-well2.nbt, wells/simple-well1.nbt, wells/wood-draw-wishing-well1.nbt], resourceFolderLocations=[submerged, subterranean, surface, wells]]
2024-12-20 03:49:38,357 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-12-20 03:49:38,357 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[rulesets/aged_ruleset.json, rulesets/default_ruleset.json, rulesets/ruinous_ruleset.json], resourceFolderLocations=[]]
2024-12-20 03:49:38,359 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/aged_ruleset.json at ./world/data/decay/treasure2/rulesets/aged_ruleset.json but it doesn't exist.
2024-12-20 03:49:38,363 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/default_ruleset.json at ./world/data/decay/treasure2/rulesets/default_ruleset.json but it doesn't exist.
2024-12-20 03:49:38,364 [Server thread] WARN Treasure2 | TreasureDecayManager.java:201 | Expected to find meta treasure2:rulesets/ruinous_ruleset.json at ./world/data/decay/treasure2/rulesets/ruinous_ruleset.json but it doesn't exist.
2024-12-20 03:49:44,344 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:307 | CHEATER! SCARCE chest at coords: 14 32 216
2024-12-20 04:08:43,572 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:307 | CHEATER! RARE chest at coords: 56 34 -16
2024-12-20 04:11:12,466 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: 152 64 40
2024-12-20 04:11:15,775 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! UNCOMMON chest at coords: 168 63 152
2024-12-20 04:17:16,029 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:307 | CHEATER! SCARCE chest at coords: -120 48 -168
2024-12-20 04:26:58,386 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:390 | CHEATER! COMMON chest at coords: -40 64 -184
2024-12-21 00:48:50,702 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2024-12-21 00:48:52,802 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/update.json
2024-12-21 00:48:52,811 [Server thread] WARN GottschCore | VersionChecker.java:55 | Bad URL: 
2024-12-21 00:48:54,717 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-12-21 00:48:54,723 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> LootResources [supportingResources=[pools/armor/common, pools/armor/uncommon, pools/armor/scarce, pools/armor/rare, pools/armor/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common, pools/treasure/uncommon, pools/treasure/scarce, pools/treasure/rare, pools/treasure/epic, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2024-12-21 00:48:54,723 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:135 | adding mod to loaded mods list
2024-12-21 00:48:54,737 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2024-12-21 00:48:54,738 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/wither-chamber1.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2024-12-21 00:48:54,739 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic1.json at ./world/data/meta/treasure2/structures/basic1.json but it doesn't exist.
2024-12-21 00:48:54,745 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic2.json at ./world/data/meta/treasure2/structures/basic2.json but it doesn't exist.
2024-12-21 00:48:54,746 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic3.json at ./world/data/meta/treasure2/structures/basic3.json but it doesn't exist.
2024-12-21 00:48:54,746 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic4.json at ./world/data/meta/treasure2/structures/basic4.json but it doesn't exist.
2024-12-21 00:48:54,746 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/basic5.json at ./world/data/meta/treasure2/structures/basic5.json but it doesn't exist.
2024-12-21 00:48:54,747 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship1.json at ./world/data/meta/treasure2/structures/beached-ship1.json but it doesn't exist.
2024-12-21 00:48:54,748 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship2.json at ./world/data/meta/treasure2/structures/beached-ship2.json but it doesn't exist.
2024-12-21 00:48:54,748 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/beached-ship3.json at ./world/data/meta/treasure2/structures/beached-ship3.json but it doesn't exist.
2024-12-21 00:48:54,748 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/blacksmith1.json at ./world/data/meta/treasure2/structures/blacksmith1.json but it doesn't exist.
2024-12-21 00:48:54,749 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/castle1.json at ./world/data/meta/treasure2/structures/castle1.json but it doesn't exist.
2024-12-21 00:48:54,749 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave1.json at ./world/data/meta/treasure2/structures/cave1.json but it doesn't exist.
2024-12-21 00:48:54,749 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cave2.json at ./world/data/meta/treasure2/structures/cave2.json but it doesn't exist.
2024-12-21 00:48:54,750 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/church1.json at ./world/data/meta/treasure2/structures/church1.json but it doesn't exist.
2024-12-21 00:48:54,750 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/cobb1.json at ./world/data/meta/treasure2/structures/cobb1.json but it doesn't exist.
2024-12-21 00:48:54,751 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt1.json at ./world/data/meta/treasure2/structures/crypt1.json but it doesn't exist.
2024-12-21 00:48:54,751 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt2.json at ./world/data/meta/treasure2/structures/crypt2.json but it doesn't exist.
2024-12-21 00:48:54,752 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/crypt3.json at ./world/data/meta/treasure2/structures/crypt3.json but it doesn't exist.
2024-12-21 00:48:54,752 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/desert-tower2.json at ./world/data/meta/treasure2/structures/desert-tower2.json but it doesn't exist.
2024-12-21 00:48:54,753 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/dingy1.json at ./world/data/meta/treasure2/structures/dingy1.json but it doesn't exist.
2024-12-21 00:48:54,753 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/fortress1.json at ./world/data/meta/treasure2/structures/fortress1.json but it doesn't exist.
2024-12-21 00:48:54,754 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/house1.json at ./world/data/meta/treasure2/structures/house1.json but it doesn't exist.
2024-12-21 00:48:54,754 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/ionic1.json at ./world/data/meta/treasure2/structures/ionic1.json but it doesn't exist.
2024-12-21 00:48:54,754 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber1.json at ./world/data/meta/treasure2/structures/iron-chamber1.json but it doesn't exist.
2024-12-21 00:48:54,755 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/iron-chamber2.json at ./world/data/meta/treasure2/structures/iron-chamber2.json but it doesn't exist.
2024-12-21 00:48:54,756 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/large-tower1.json at ./world/data/meta/treasure2/structures/large-tower1.json but it doesn't exist.
2024-12-21 00:48:54,758 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/mine1.json at ./world/data/meta/treasure2/structures/mine1.json but it doesn't exist.
2024-12-21 00:48:54,759 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/obsidian-chamber1.json at ./world/data/meta/treasure2/structures/obsidian-chamber1.json but it doesn't exist.
2024-12-21 00:48:54,759 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/pirate-chamber1.json at ./world/data/meta/treasure2/structures/pirate-chamber1.json but it doesn't exist.
2024-12-21 00:48:54,759 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship1.json at ./world/data/meta/treasure2/structures/sunken-ship1.json but it doesn't exist.
2024-12-21 00:48:54,760 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship2.json at ./world/data/meta/treasure2/structures/sunken-ship2.json but it doesn't exist.
2024-12-21 00:48:54,761 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/sunken-ship3.json at ./world/data/meta/treasure2/structures/sunken-ship3.json but it doesn't exist.
2024-12-21 00:48:54,761 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower1.json at ./world/data/meta/treasure2/structures/tower1.json but it doesn't exist.
2024-12-21 00:48:54,763 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower2.json at ./world/data/meta/treasure2/structures/tower2.json but it doesn't exist.
2024-12-21 00:48:54,763 [Server thread] WARN Treasure2 | TreasureMetaManager.java:208 | expected to find meta treasure2:structures/tower3.json at ./world/data/meta/treasure2/structures/tower3.json but it doesn't exist.
